codigo_procedimento,status,justificativa,valor,especialidade
PROC012,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,15944.22,Neurologia
PROC015,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,8012.48,Neurologia
PROC013,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,1904.95,Urologia
PROC011,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,8551.7,Gastroenterologia
PROC012,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,9424.1,Neurologia
PROC019,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,30623.73,Ginecologia e Obstetrícia
PROC011,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,3781.62,Reumatologia
PROC004,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",13067.17,Neurocirurgia
PROC005,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,7867.79,Reumatologia
PROC020,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",3600.06,Endocrinologia
PROC016,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,8355.84,Oftalmologia
PROC019,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",6302.36,Anestesiologia
PROC003,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,28115.94,Otorrinolaringologia
PROC019,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,11691.79,Cardiologia
PROC015,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,3793.51,Cardiologia
PROC003,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,16839.65,Anestesiologia
PROC018,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,12067.6,Cardiologia
PROC016,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,16427.68,Neurocirurgia
PROC011,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,2523.0,Neurologia
PROC015,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,13499.75,Oftalmologia
PROC010,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",24146.74,Ginecologia e Obstetrícia
PROC002,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,20059.16,Ortopedia e Traumatologia
PROC013,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,12467.64,Nefrologia
PROC019,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",17434.69,Endocrinologia
PROC013,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,11663.87,Endocrinologia
PROC013,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",2135.43,Ortopedia e Traumatologia
PROC014,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",11639.67,Neurocirurgia
PROC007,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",3860.09,Ortopedia e Traumatologia
PROC005,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,18359.91,Endocrinologia
PROC018,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",30822.08,Neurocirurgia
PROC020,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,6683.96,Endocrinologia
PROC020,Negado,Não preenchimento dos critérios estabelecidos nas Diretrizes de Utilização (DUT).,7690.03,Gastroenterologia
PROC008,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,9109.3,Oftalmologia
PROC008,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",16319.55,Nefrologia
PROC007,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,16804.78,Cirurgia Geral
PROC010,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,33859.86,Ginecologia e Obstetrícia
PROC007,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,2963.68,Anestesiologia
PROC016,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,25245.35,Cirurgia Geral
PROC017,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,10420.35,Oncologia
PROC017,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",17062.23,Endocrinologia
PROC008,Negado,Não preenchimento dos critérios estabelecidos nas Diretrizes de Utilização (DUT).,7760.7,Oftalmologia
PROC013,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,34814.96,Neurocirurgia
PROC012,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,29564.16,Reumatologia
PROC011,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,32207.99,Endocrinologia
PROC016,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",8350.53,Endocrinologia
PROC001,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,29421.75,Neurologia
PROC018,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,27434.63,Anestesiologia
PROC008,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,15390.1,Nefrologia
PROC020,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,21369.78,Oftalmologia
PROC001,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,11044.99,Neurocirurgia
PROC001,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,7531.21,Anestesiologia
PROC003,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",17184.56,Neurocirurgia
PROC018,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",10197.66,Neurocirurgia
PROC013,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,34359.13,Otorrinolaringologia
PROC009,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,12854.32,Clínica Médica
PROC004,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,2834.67,Pediatria
PROC012,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,29266.97,Cirurgia Cardiovascular
PROC015,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,3332.8,Otorrinolaringologia
PROC015,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,27939.49,Cardiologia
PROC002,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",7468.92,Ortopedia e Traumatologia
PROC018,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,10870.55,Otorrinolaringologia
PROC002,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",15968.96,Ortopedia e Traumatologia
PROC013,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,6433.14,Oftalmologia
PROC006,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",32441.69,Otorrinolaringologia
PROC017,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,1881.22,Infectologia
PROC020,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",4667.81,Gastroenterologia
PROC011,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,6832.59,Nefrologia
PROC015,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",21981.98,Cirurgia Geral
PROC014,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,3736.39,Infectologia
PROC013,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,33404.28,Cirurgia Geral
PROC005,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,2376.21,Anestesiologia
PROC003,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,6837.64,Reumatologia
PROC019,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,33270.24,Cardiologia
PROC012,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,2909.66,Oftalmologia
PROC012,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,9636.87,Ginecologia e Obstetrícia
PROC004,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",9560.54,Clínica Médica
PROC018,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,24996.48,Oncologia
PROC007,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,7966.03,Anestesiologia
PROC005,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,34907.47,Neurologia
PROC011,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",9988.0,Cirurgia Geral
PROC010,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,14389.69,Gastroenterologia
PROC017,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,27971.82,Reumatologia
PROC008,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",16998.32,Otorrinolaringologia
PROC018,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,3422.29,Endocrinologia
PROC013,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,29028.87,Otorrinolaringologia
PROC003,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",8374.55,Endocrinologia
PROC017,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,27151.02,Cirurgia Geral
PROC005,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,29301.01,Urologia
PROC017,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,12105.93,Endocrinologia
PROC008,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",16161.2,Cirurgia Geral
PROC003,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,5430.76,Infectologia
PROC010,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,21203.13,Anestesiologia
PROC019,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",29677.51,Endocrinologia
PROC019,Negado,Não preenchimento dos critérios estabelecidos nas Diretrizes de Utilização (DUT).,1921.4,Cardiologia
PROC019,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,22092.06,Infectologia
PROC001,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",5569.25,Otorrinolaringologia
PROC010,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,11253.26,Otorrinolaringologia
PROC003,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,17567.69,Cardiologia
PROC007,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",30318.2,Ortopedia e Traumatologia
PROC011,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,13811.64,Cirurgia Geral
PROC017,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,16966.77,Cirurgia Cardiovascular
PROC009,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,2910.46,Oftalmologia
PROC013,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,28695.55,Anestesiologia
PROC019,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,18041.38,Ortopedia e Traumatologia
PROC017,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,18011.12,Oftalmologia
PROC003,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,8471.88,Ginecologia e Obstetrícia
PROC012,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,21396.13,Cardiologia
PROC016,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,15765.36,Nefrologia
PROC009,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,1291.74,Cirurgia Geral
PROC002,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",19898.93,Pediatria
PROC003,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,29095.52,Ginecologia e Obstetrícia
PROC020,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,14513.95,Anestesiologia
PROC011,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,3983.51,Cirurgia Cardiovascular
PROC017,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,2515.29,Ginecologia e Obstetrícia
PROC011,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,21691.61,Otorrinolaringologia
PROC017,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",6692.57,Endocrinologia
PROC020,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,25155.41,Nefrologia
PROC010,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,6296.69,Otorrinolaringologia
PROC004,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,21375.55,Urologia
PROC009,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,20923.09,Pediatria
PROC006,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,6194.82,Neurocirurgia
PROC008,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,7648.51,Cardiologia
PROC015,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,24538.91,Ortopedia e Traumatologia
PROC014,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",15774.31,Neurocirurgia
PROC002,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",34936.55,Endocrinologia
PROC016,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,16736.63,Neurocirurgia
PROC018,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,21820.59,Ortopedia e Traumatologia
PROC007,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,8800.51,Reumatologia
PROC010,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",6048.21,Nefrologia
PROC012,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",5536.31,Cirurgia Cardiovascular
PROC019,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,28861.16,Cirurgia Cardiovascular
PROC005,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,12907.09,Nefrologia
PROC015,Negado,Incompatibilidade técnica entre o CID informado e o procedimento solicitado.,4036.19,Infectologia
PROC018,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",2902.28,Infectologia
PROC020,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,23840.39,Pediatria
PROC017,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,4586.69,Reumatologia
PROC011,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,1375.13,Otorrinolaringologia
PROC018,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,17337.76,Gastroenterologia
PROC007,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,31888.27,Nefrologia
PROC003,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,32067.16,Pediatria
PROC006,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,16843.65,Urologia
PROC002,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,16890.65,Ginecologia e Obstetrícia
PROC010,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,32581.77,Cardiologia
PROC011,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,31256.99,Nefrologia
PROC005,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,28537.91,Neurocirurgia
PROC011,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",13075.47,Gastroenterologia
PROC001,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,12302.02,Ortopedia e Traumatologia
PROC007,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,29152.26,Gastroenterologia
PROC017,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,7445.6,Ortopedia e Traumatologia
PROC005,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,1430.86,Otorrinolaringologia
PROC013,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,33446.38,Reumatologia
PROC010,Negado,Não preenchimento dos critérios estabelecidos nas Diretrizes de Utilização (DUT).,5077.18,Pediatria
PROC012,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,16930.35,Reumatologia
PROC006,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,24531.81,Ginecologia e Obstetrícia
PROC010,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,33558.79,Cirurgia Geral
PROC016,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",15255.58,Endocrinologia
PROC018,Negado,Incompatibilidade técnica entre o CID informado e o procedimento solicitado.,13832.54,Otorrinolaringologia
PROC020,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",3839.87,Neurologia
PROC019,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,20557.32,Oncologia
PROC005,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,5128.91,Gastroenterologia
PROC007,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,28533.79,Pediatria
PROC015,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,20260.2,Endocrinologia
PROC018,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,25646.87,Oftalmologia
PROC013,Negado,Incompatibilidade técnica entre o CID informado e o procedimento solicitado.,10620.45,Infectologia
PROC002,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,19491.33,Urologia
PROC002,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",1055.36,Neurologia
PROC014,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,7053.07,Gastroenterologia
PROC013,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,7073.8,Oftalmologia
PROC018,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",5209.8,Endocrinologia
PROC018,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,29416.97,Ginecologia e Obstetrícia
PROC001,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,19179.36,Nefrologia
PROC008,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,10516.96,Reumatologia
PROC004,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,11261.16,Cardiologia
PROC001,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,21275.31,Reumatologia
PROC015,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,9472.01,Anestesiologia
PROC002,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,26698.24,Ginecologia e Obstetrícia
PROC002,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,9114.66,Endocrinologia
PROC019,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",9207.36,Ortopedia e Traumatologia
PROC005,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,10500.2,Neurocirurgia
PROC018,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,11454.88,Pediatria
PROC014,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",33025.62,Cirurgia Cardiovascular
PROC013,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,14999.16,Neurocirurgia
PROC010,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,9344.72,Ginecologia e Obstetrícia
PROC008,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,14601.08,Nefrologia
PROC002,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,20036.29,Cirurgia Cardiovascular
PROC005,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,12362.89,Ginecologia e Obstetrícia
PROC003,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",9873.62,Oftalmologia
PROC007,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,30728.37,Cardiologia
PROC007,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",4297.79,Pediatria
PROC007,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,8359.1,Ortopedia e Traumatologia
PROC007,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",16502.72,Oncologia
PROC020,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,19860.28,Pneumologia
PROC010,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",11624.67,Ginecologia e Obstetrícia
PROC012,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",2225.64,Neurocirurgia
PROC016,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,5976.14,Ortopedia e Traumatologia
PROC002,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,783.85,Pediatria
PROC018,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,11177.5,Pediatria
PROC007,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,18076.39,Ortopedia e Traumatologia
PROC011,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",17413.89,Infectologia
PROC016,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",6921.18,Oftalmologia
PROC018,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,18909.32,Otorrinolaringologia
PROC003,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,2906.1,Cardiologia
PROC008,Negado,Não preenchimento dos critérios estabelecidos nas Diretrizes de Utilização (DUT).,4327.59,Neurologia
PROC015,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,23483.81,Cirurgia Geral
PROC001,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,1600.56,Clínica Médica
PROC017,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,1779.42,Infectologia
PROC014,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,18924.23,Gastroenterologia
PROC008,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,28754.25,Pneumologia
PROC009,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,16714.12,Ginecologia e Obstetrícia
PROC008,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,23296.27,Reumatologia
PROC002,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,19881.31,Neurologia
PROC002,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",9247.52,Clínica Médica
PROC014,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,31443.94,Ortopedia e Traumatologia
PROC002,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,10363.01,Reumatologia
PROC003,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,12016.91,Infectologia
PROC006,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,21041.82,Ortopedia e Traumatologia
PROC013,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,20354.32,Neurologia
PROC013,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,27918.84,Cirurgia Cardiovascular
PROC003,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,1439.69,Neurocirurgia
PROC014,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,11090.45,Reumatologia
PROC020,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",2201.35,Anestesiologia
PROC009,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",19892.68,Oftalmologia
PROC013,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,4096.46,Urologia
PROC020,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",1935.67,Nefrologia
PROC005,Negado,Ausência de exames complementares que comprovem a necessidade do procedimento.,13443.97,Ginecologia e Obstetrícia
PROC011,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,33072.06,Cirurgia Geral
PROC015,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",2818.87,Cirurgia Geral
PROC006,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,4691.3,Urologia
PROC003,Aprovado,"Cobertura contratual vigente, sem restrições de carência ou CPT.",30393.67,Cirurgia Geral
PROC001,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,25699.72,Nefrologia
PROC018,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,24363.68,Reumatologia
PROC006,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,17867.59,Endocrinologia
PROC003,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,11331.63,Gastroenterologia
PROC003,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,25566.4,Cirurgia Geral
PROC016,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,4815.67,Anestesiologia
PROC010,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,15228.23,Clínica Médica
PROC013,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,28763.07,Ortopedia e Traumatologia
PROC020,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,17390.53,Endocrinologia
PROC006,Negado,"Tratamento elegível para via ambulatorial, sem justificativa clínica para internação.",13360.3,Ginecologia e Obstetrícia
PROC016,Negado,Negativa por Cobertura Parcial Temporária (CPT) vigente para doença preexistente.,7080.97,Pediatria
PROC013,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,21217.27,Cirurgia Geral
PROC018,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,33411.56,Gastroenterologia
PROC015,Aprovado,Indicação adequada e justificada de OPMEs conforme literatura atualizada.,29297.33,Pneumologia
PROC003,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,22606.76,Urologia
PROC008,Aprovado,Correção de lateralidade e codificação TUSS em conformidade com o pedido.,27870.79,Infectologia
PROC003,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",10689.27,Oftalmologia
PROC018,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,10013.79,Neurocirurgia
PROC012,Aprovado,Quadro de urgência/emergência devidamente configurado em relatório médico.,4896.69,Cirurgia Cardiovascular
PROC008,Aprovado,Adequação integral às Diretrizes de Utilização (DUT) vigentes.,20236.85,Cirurgia Geral
PROC013,Negado,Fracionamento indevido de códigos TUSS do procedimento cirúrgico principal.,2354.03,Ortopedia e Traumatologia
PROC004,Aprovado,Alinhamento terapêutico e histórico de esgotamento de linhas conservadoras.,16267.32,Infectologia
PROC013,Negado,Falta de comprovação do esgotamento de linhas de tratamento conservadoras.,12582.65,Oftalmologia
PROC005,Negado,"Divergência na codificação TUSS, lateralidade ou preenchimento incorreto da guia.",2329.61,Cirurgia Geral
PROC014,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,12973.51,Neurologia
PROC011,Negado,"Procedimento experimental, off-label ou fora do rol de coberturas contratuais.",8951.2,Oftalmologia
PROC016,Aprovado,Parecer favorável para manutenção de internação por dependência de cuidados.,11979.14,Oncologia
PROC010,Negado,"Glosa técnica por incompatibilidade, redundância ou excesso de OPMEs solicitadas.",895.24,Cardiologia
PROC011,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,32631.38,Oncologia
PROC008,Aprovado,Pertinência clínica do procedimento corroborada por exames complementares.,12387.45,Neurocirurgia
